No	TMNo	EnNo	Name	GMNo	Mode	In/Out	Antipass	ProxyWork	DateTime
28	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-17 19:15:30
29	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-17 19:22:15
30	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-17 20:28:30
31	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-17 20:35:45
32	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-17 20:42:20
33	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-17 20:48:50
34	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-17 20:55:30
35	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-18 08:05:30
36	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-18 08:12:45
37	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-18 08:20:15
38	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-18 08:28:30
39	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-18 08:35:40
40	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-18 08:42:20
41	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-18 08:50:15
42	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-18 08:58:30
43	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-18 09:05:45
44	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-18 09:12:30
45	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-18 09:20:10
46	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-18 09:28:25
47	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-18 09:35:40
48	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-18 18:10:30
49	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-18 18:18:45
50	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-18 18:25:50
51	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-18 18:32:30
52	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-18 18:40:15
53	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-18 18:48:20
54	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-18 18:55:40
55	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-18 19:02:10
56	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-18 19:08:25
57	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-18 19:15:30
58	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-18 20:20:45
59	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-18 20:28:30
60	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-18 20:35:50
61	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-19 08:08:20
62	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-19 08:15:30
63	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-19 08:22:40
64	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-19 08:30:15
65	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-19 08:38:25
66	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-19 08:45:40
67	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-19 08:52:30
68	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-19 09:00:15
69	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-19 09:08:40
70	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-19 09:15:20
71	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-19 09:22:50
72	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-19 09:30:10
73	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-19 09:38:30
74	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-19 18:05:25
75	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-19 18:12:40
76	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-19 18:20:15
77	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-19 18:28:30
78	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-19 18:35:45
79	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-19 18:42:50
80	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-19 18:50:30
81	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-19 18:58:15
82	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-19 19:05:40
83	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-19 19:12:20
84	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-19 20:18:30
85	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-19 20:25:40
86	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-19 20:32:50
87	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-20 08:10:45
88	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-20 08:18:20
89	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-20 08:25:30
90	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-20 08:32:40
91	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-20 08:40:15
92	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-20 08:48:25
93	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-20 08:55:40
94	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-20 09:02:50
95	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-20 09:10:30
96	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-20 09:18:10
97	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-20 09:25:40
98	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-20 09:32:50
99	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-20 18:08:15
100	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-20 18:15:30
101	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-20 18:22:40
102	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-20 18:30:25
103	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-20 18:38:40
104	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-20 18:45:50
105	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-20 18:52:30
106	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-20 19:00:10
107	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-20 19:08:30
108	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-20 20:15:20
109	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-20 20:22:40
110	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-20 20:30:50
111	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-20 20:38:15
112	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-21 08:12:30
113	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-21 08:20:15
114	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-21 08:28:40
115	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-21 08:35:20
116	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-21 08:42:30
117	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-21 08:50:15
118	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-21 08:58:25
119	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-21 09:05:40
120	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-21 09:12:50
121	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-21 09:20:15
122	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-21 09:28:30
123	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-21 09:35:40
124	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-21 09:42:50
125	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-21 18:10:40
126	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-21 18:18:20
127	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-21 18:25:30
128	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-21 18:32:40
129	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-21 18:40:15
130	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-21 18:48:25
131	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-21 18:55:40
132	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-21 19:02:50
133	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-21 19:10:10
134	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-21 20:12:30
135	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-21 20:20:40
136	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-21 20:28:50
137	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-21 20:35:30
138	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-22 14:35:15
139	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-22 14:42:30
140	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-22 14:50:40
141	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-22 15:05:20
142	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-22 15:12:30
143	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-22 15:20:40
144	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-22 15:28:15
145	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-22 15:35:30
146	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-22 15:42:40
147	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-22 15:50:20
148	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-22 16:05:30
149	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-22 16:12:40
150	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-22 16:20:15
151	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-22 16:28:40
152	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-22 16:35:50
153	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-22 16:42:30
154	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-22 16:50:10
155	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-24 08:05:30
156	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-24 08:12:40
157	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-24 08:20:15
158	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-24 08:28:30
159	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-24 08:35:40
160	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-24 08:42:50
161	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-24 08:50:15
162	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-24 08:58:25
163	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-24 09:05:40
164	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-24 09:12:30
165	1	00000002	Sarah Ahmed	1	FP	DutyOff	0	0	2026-02-24 09:20:10
166	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-24 09:28:20
167	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-24 09:35:30
168	1	00000011	Chris Martin	1	FP	DutyOff	0	0	2026-02-24 18:08:15
169	1	00000010	Amanda White	1	FP	DutyOff	0	0	2026-02-24 18:15:30
170	1	00000008	Jessica Taylor	1	FP	DutyOff	0	0	2026-02-24 18:22:40
171	1	00000006	Lisa Wilson	1	FP	DutyOff	0	0	2026-02-24 18:30:20
172	1	00000004	Emily Davis	1	FP	DutyOff	0	0	2026-02-24 18:38:30
173	1	00000001	Amaan Khan	1	FP	DutyOff	0	0	2026-02-24 18:45:40
174	1	00000012	Patricia Clark	1	FP	DutyOff	0	0	2026-02-24 18:52:50
175	1	00000009	Robert Johnson	1	FP	DutyOff	0	0	2026-02-24 19:00:10
176	1	00000007	David Lee	1	FP	DutyOff	0	0	2026-02-24 19:08:20
177	1	00000005	Michael Brown	1	FP	DutyOff	0	0	2026-02-24 20:12:30
178	1	00000003	John Smith	1	FP	DutyOff	0	0	2026-02-24 20:20:40
